"","latitude","longitude","temperature_b","salinity_b","depth","sediment","abundance","AMM_HSI","GMM_HSI"
"1",40.45,-67.15,4.14486275,34.9139348333333,-869.099975585938,"cl-st/sd",0.016346102864992,0.223949077354193,0.106497280385129
"2",41.65,-65.8,7.38565115,35.097617,-632.799987792969,"sd",1.88519783426403,0.414476397164455,0
"3",39.95,-69.25,5.2060611,34.9509674166667,-627,"cl-st/sd",0.0119786398349198,0.223949077354193,0.106497280385129
"4",41.05,-66.35,4.9162392625,34.979373,-970.400024414062,"cl-st/sd",0.200828554827351,0.223949077354193,0.106497280385129
"5",40.5,-67,4.17301103,34.9181562,-826.099975585938,"sd-cl/st",0.016346102864992,0.199063822251093,0.091543753131223
"6",40.1,-69.05,8.32243290408163,35.1251039081633,-502.399993896484,"sd/st/cl",0.0113422287531659,0.664476397164455,0.421116988028107
"7",40.6,-66.95,4.800167271875,34.959129265625,-547.799987792969,"cl-st/sd",0.0282601746394058,0.223949077354193,0.106497280385129
"8",41.7,-65.75,7.688313575,35.11001,-579.299987792969,"cl-st/sd",1.88519783426403,0.469284899456275,0.288157377409189
"9",39.9,-69.3,4.0150687375,34.887487125,-1007.40002441406,"cl-st/sd",0.0119786398349198,0.223949077354193,0.106497280385129
"10",39.9,-71,4.4586607,34.907211,-624.099975585938,"cl-st/sd",0.0147871249912154,0.223949077354193,0.106497280385129
"11",39.85,-69.85,4.2321904525,34.88870245,-819.900024414062,"cl-st/sd",0.0138527422743777,0.223949077354193,0.106497280385129
"12",40.2,-68.15,4.49705022758621,34.9203970172414,-914,"cl-st/sd",0.0101161455233338,0.223949077354193,0.106497280385129
"13",39.85,-69.8,4.19868544375,34.891204375,-850.099975585938,"cl-st/sd",0.0138527422743777,0.223949077354193,0.106497280385129
"14",39.9,-70.45,4.72863486538462,34.9195517692308,-571.599975585938,"cl-st/sd",0.0147871249912154,0.223949077354193,0.106497280385129
"15",40.35,-67.5,4.9657160875,34.9584410892857,-695,"cl-st/sd",0.0114934526129162,0.223949077354193,0.106497280385129
"16",40.75,-66.65,4.2553724,34.9423981666667,-1085.30004882812,"sd-cl/st",0.0498052007431527,0.199063822251093,0.091543753131223
"17",39.85,-70.75,3.74748205,34.86969,-820.299987792969,"cl-st/sd",0.0147871249912154,0.223949077354193,0.106497280385129
"18",39.9,-70.55,4.47710232894737,34.9099305263158,-547.700012207031,"cl-st/sd",0.0147871249912154,0.223949077354193,0.106497280385129
"19",39.9,-70.05,5.18208187,34.9430667,-572,"cl-st/sd",0.0138527422743777,0.223949077354193,0.106497280385129
"20",40.1,-68.5,4.55102264714286,34.9201556,-958.099975585938,"cl-st/sd",0.0103756045772709,0.223949077354193,0.106497280385129
"21",40.35,-68.15,6.04910074347826,34.9942198586957,-653.200012207031,"cl-st/sd",0.0101167761088838,0.469284899456275,0.288157377409189
"22",40.3,-67.85,4.32232069732143,34.9141270803571,-803,"cl-st/sd",0.0103917247052203,0.223949077354193,0.106497280385129
"23",40.9,-66.5,6.129070925,35.08794675,-533.5,"cl-st/sd",0.118541604721443,0.469284899456275,0.288157377409189
"24",40,-69.15,6.10695715172414,35.0041599827586,-527.5,"cl-st/sd",0.0113422287531659,0.469284899456275,0.288157377409189
"25",39.85,-69.75,4.591992975,34.91225935,-855.700012207031,"cl-st/sd",0.0138527422743777,0.223949077354193,0.106497280385129
"26",40,-70.5,6.29375781621622,35.0103294324324,-517.599975585938,"cl-st/sd",0.0147871249912154,0.469284899456275,0.288157377409189
"27",39.9,-69.95,5.38715769864865,34.9518282297297,-512.700012207031,"cl-st/sd",0.0138527422743777,0.223949077354193,0.106497280385129
"28",41.85,-65.7,7.90817416666667,35.1161445,-510.100006103516,"sd",1.81607652066408,0.414476397164455,0
"29",41.85,-65.65,5.7969004,35.0030703333333,-992.900024414062,"sd/st/cl",1.81607652066408,0.664476397164455,0.421116988028107
"30",40.1,-68.6,6.60020737380952,35.0341525,-523.900024414062,"sd",0.0103756045772709,0.414476397164455,0
