"","stat_area","tow_id","survey","year","month","day","doy","tow_duration","lat","lon","catch_n","vessel","area_swept"
"1",526,"198007.229.1100.5","BTS",1980,10,12,285,NA,40.516667,-69.983333,0,"DE",0.038
"2",526,"198007.232.1120.3","BTS",1980,10,12,285,NA,39.933333,-69.55,0,"DE",0.038
"3",526,"198007.233.1110.2","BTS",1980,10,12,285,NA,39.966667,-69.333333,0,"DE",0.038
"4",526,"198007.234.1100.1","BTS",1980,10,13,286,NA,40.1,-69.533333,0,"DE",0.038
"5",526,"198007.235.1100.4","BTS",1980,10,13,286,NA,40.066667,-69.35,0,"DE",0.038
"6",526,"198007.236.1120.2","BTS",1980,10,13,286,NA,40.116667,-69.033333,0,"DE",0.038
"7",525,"198007.237.1120.1","BTS",1980,10,13,286,NA,40.116667,-68.816667,0,"DE",0.038
"8",525,"198007.238.1110.3","BTS",1980,10,13,286,NA,40.166667,-68.8,0,"DE",0.038
"9",525,"198007.239.1150.1","BTS",1980,10,13,286,NA,40.183333,-68.533333,0,"DE",0.038
"10",525,"198007.240.1130.5","BTS",1980,10,13,286,NA,40.466667,-68.566667,0,"DE",0.038
"11",525,"198007.241.1140.2","BTS",1980,10,13,286,NA,40.35,-68.316667,0,"DE",0.038
"12",525,"198007.242.1140.5","BTS",1980,10,13,286,NA,40.483333,-67.65,0,"DE",0.038
"13",525,"198007.243.1140.4","BTS",1980,10,13,286,NA,40.45,-67.516667,0,"DE",0.038
"14",525,"198007.244.1140.1","BTS",1980,10,13,286,NA,40.533333,-67.483333,0,"DE",0.038
"15",525,"198007.245.1150.2","BTS",1980,10,14,287,NA,40.466667,-67.366667,0,"DE",0.038
"16",525,"198007.246.1140.3","BTS",1980,10,14,287,NA,40.65,-67.083333,0,"DE",0.038
"17",525,"198007.247.1130.7","BTS",1980,10,14,287,NA,40.783333,-67.066667,0,"DE",0.038
"18",562,"198007.248.1130.8","BTS",1980,10,14,287,NA,40.866667,-66.883333,0,"DE",0.038
"19",525,"198007.249.1130.9","BTS",1980,10,14,287,NA,40.833333,-67.15,0,"DE",0.038
"20",525,"198007.250.1130.3","BTS",1980,10,14,287,NA,40.933333,-67.566667,0,"DE",0.038
"21",525,"198007.251.1130.6","BTS",1980,10,14,287,NA,40.966667,-67.683333,0,"DE",0.038
"22",525,"198007.252.1130.2","BTS",1980,10,14,287,NA,40.733333,-67.75,0,"DE",0.038
"23",525,"198007.253.1130.1","BTS",1980,10,14,287,NA,40.883333,-67.9,0,"DE",0.038
"24",525,"198007.254.1190.5","BTS",1980,10,14,287,NA,40.766667,-68.233333,0,"DE",0.038
"25",525,"198007.255.1190.2","BTS",1980,10,15,288,NA,40.85,-68.316667,0,"DE",0.038
"26",526,"198007.256.1130.4","BTS",1980,10,15,288,NA,40.983333,-68.883333,0,"DE",0.038
"27",526,"198007.257.1100.6","BTS",1980,10,15,288,NA,40.983333,-69.133333,0,"DE",0.038
