"","latitude","longitude","temperature_b","salinity_b","depth","sediment","abundance","AMM_HSI","GMM_HSI"
"1",40.05,-68.8,6.17226544361702,35.1031691808511,-985.099975585938,"cl-st/sd",14.4854805703989,0.0505456476378005,0.0380303724539066
"2",40.1,-68.4,6.05686334375,35.0801998125,-1012.90002441406,"cl-st/sd",14.4854805703989,0.0505456476378005,0.0380303724539066
"3",40.8,-66.65,6.30956718333333,35.036173,-482.100006103516,"cl-st/sd",18.9095778167867,0.0505456476378005,0.0380303724539066
"4",40.6,-66.85,5.74761511,35.0355446,-794.799987792969,"cl-st/sd",18.9095778167867,0.0505456476378005,0.0380303724539066
"5",40.15,-68.35,6.72263143928571,35.1255558571429,-760.700012207031,"cl-st/sd",15.7194199007855,0.0436024112890009,0.0302463540933797
"6",39.85,-70.4,6.2538858173913,35.1115823695652,-839.5,"cl-st/sd",41.2982672769814,0.0505456476378005,0.0380303724539066
"7",39.85,-70.05,5.7970134125,35.0659545625,-983.299987792969,"cl-st/sd",41.2982672769814,0.0505456476378005,0.0380303724539066
"8",40.65,-66.75,5.6202652,35.0225075,-1062.59997558594,"sd-cl/st",18.9095778167867,0.0981195490796508,0.0512776090385726
"9",40.45,-67.4,7.455057564,35.17211189,-580.099975585938,"cl-st/sd",14.472120078103,0.0389716356237886,0
"10",39.9,-70.65,7.27056298333333,35.2123758333333,-514.599975585938,"cl-st/sd",41.2982672769814,0.0436024112890009,0.0302463540933797
"11",40.45,-67.2,6.58233231666667,35.0966701666667,-750.5,"cl-st/sd",30.669657280622,0.0436024112890009,0.0302463540933797
"12",41,-66.35,5.22812165,34.9667198333333,-1032.30004882812,"sd-cl/st",23.9590462798355,0.118366268921773,0.0660289400318817
"13",39.85,-70.7,6.27868025,35.130097,-907.400024414062,"cl-st/sd",41.2982672769814,0.0505456476378005,0.0380303724539066
"14",39.9,-70.7,7.0925965,35.205335,-564.400024414062,"cl-st/sd",41.2982672769814,0.0436024112890009,0.0302463540933797
"15",41.3,-66.1,4.83043756666667,34.930967,-722.700012207031,"cl-st/sd",235.568547298156,0.0707923674799228,0.0489707930855394
"16",40,-68.9,6.08184969666667,35.0911454,-997.5,"cl-st/sd",30.8168084264406,0.0505456476378005,0.0380303724539066
"17",41.85,-65.7,6.17912678333333,34.9234013333333,-510.100006103516,"sd",130.54701907688,0.0474151789489147,0.036498090852124
"18",39.9,-69.35,5.78933038333333,35.0658166666667,-801.900024414062,"cl-st/sd",41.2982672769814,0.0505456476378005,0.0380303724539066
